model;model_name;sku;status;brand;category;article_number;article_name;ean;qty;price;size;color;name_en;short_desc_en;full_description_en;image
B2B-APRN;B2B Apron with pocket Ramsey;B2B-APRNBL;1;Back To Basics;test category;B2B-APRNBL;B2B Apron with pocket Ramsey black one size;6,10E+12;1;1,2;one size;black;Apron with pocket Ramsey black one size;Apron with pocket Ramsey black one size;Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_APRN_BLACK_FRONT.JPG
B2B-APRN;B2B Apron with pocket Ramsey;B2B-APRNGR;1;Back To Basics;test category;B2B-APRNGR;B2B Apron with pocket Ramsey grey one size;6,10E+12;1;1,3;one size;grey;Apron with pocket Ramsey grey one size;Apron with pocket Ramsey grey one size;Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_APRN_GREY_FRONT.JPG
B2B-APRN;B2B Apron with pocket Ramsey;B2B-APRNNA;1;Back To Basics;test category;B2B-APRNNA;B2B Apron with pocket Ramsey navy one size;6,10E+12;1;1,4;one size;navy;Apron with pocket Ramsey navy one size;Apron with pocket Ramsey navy one size;Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_APRN_NAVY_FRONT.JPG
B2B-BEA;B2B Beanie Sammy;B2B-BEABL;1;Back To Basics;test category;B2B-BEABL;B2B Beanie Sammy black one size;6,10E+12;1;1,5;one size;black;Beanie Sammy black one size;Beanie Sammy black one size;Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG
B2B-BEA;B2B Beanie Sammy;B2B-BEAGR;1;Back To Basics;test category;B2B-BEAGR;B2B Beanie Sammy grey one size;6,10E+12;1;1,6;one size;grey;Beanie Sammy grey one size;Beanie Sammy grey one size;Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_BEA_GREY_FRONT.JPG
B2B-BEA;B2B Beanie Sammy;B2B-BEANA;1;Back To Basics;test category;B2B-BEANA;B2B Beanie Sammy navy one size;6,10E+12;1;1,7;one size;navy;Beanie Sammy navy one size;Beanie Sammy navy one size;Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_BEA_NAVY_FRONT.JPG
B2B-BEA;B2B Beanie Sammy;B2B-BEARB;1;Back To Basics;test category;B2B-BEARB;B2B Beanie Sammy royal blue one size;6,10E+12;1;1,8;one size;royal blue;Beanie Sammy royal blue one size;Beanie Sammy royal blue one size;Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_BEA_ROYAL_BLUE_FRONT.JPG
B2B-BEA;B2B Beanie Sammy;B2B-BEARE;1;Back To Basics;test category;B2B-BEARE;B2B Beanie Sammy red one size;6,10E+12;1;1,9;one size;red;Beanie Sammy red one size;Beanie Sammy red one size;Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.;https://tghimages.nl/B2B_BEA_RED_FRONT.JPG
B2B-TS180;B2B Cotton T-shirt Manuel;B2B-TS180AN00;1;Back To Basics;test category;B2B-TS180AN00;B2B Cotton T-shirt Manuel anthracite XS;6,10E+12;1;67,3;XS;anthracite;Cotton T-shirt Manuel anthracite XS;Cotton T-shirt Manuel anthracite XS;"Dit T-shirt van 100% voorgekrompen katoen behoudt zijn pasvorm, zelfs na vele wasbeurten. Het zachte, ademende materiaal biedt ultiem comfort. Dubbel gestikte naden zorgen voor extra duurzaamheid, ideaal voor 
intensief gebruik.<br/><br/>- Dubbel gestikte naden, gekleurde nektape ter versteviging en 60°C wasbaar.<br/>- Set-in mouwen, zijnaden.<br/>- Iets langer dan gemiddeld<br/>- Duurzaam 180-grams T-shirt, vervaardigd uit 100% voorgekrompen katoen. <br/>- Neutraal, enkel maatlabel aanwezig, dus uitermate geschikt voor rebranding. <br/>- Hangtag en polybags met barcode.<br/>- Geschikt voor werk- & casual vrijetijdskleding.<br/>- Beschikbaar van maat XS t/m 7XL.<br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_TS180_ANTHRACITE_FRONT.JPG
B2B-TS180;B2B Cotton T-shirt Manuel;B2B-TS180AN01;1;Back To Basics;test category;B2B-TS180AN01;B2B Cotton T-shirt Manuel anthracite S;6,10E+12;1;67,4;S;anthracite;Cotton T-shirt Manuel anthracite S;Cotton T-shirt Manuel anthracite S;"Dit T-shirt van 100% voorgekrompen katoen behoudt zijn pasvorm, zelfs na vele wasbeurten. Het zachte, ademende materiaal biedt ultiem comfort. Dubbel gestikte naden zorgen voor extra duurzaamheid, ideaal voor 
intensief gebruik.<br/><br/>- Dubbel gestikte naden, gekleurde nektape ter versteviging en 60°C wasbaar.<br/>- Set-in mouwen, zijnaden.<br/>- Iets langer dan gemiddeld<br/>- Duurzaam 180-grams T-shirt, vervaardigd uit 100% voorgekrompen katoen. <br/>- Neutraal, enkel maatlabel aanwezig, dus uitermate geschikt voor rebranding. <br/>- Hangtag en polybags met barcode.<br/>- Geschikt voor werk- & casual vrijetijdskleding.<br/>- Beschikbaar van maat XS t/m 7XL.<br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_TS180_ANTHRACITE_FRONT.JPG
