model;model_name;sku;status;brand;category;article_number;article_name;material;ean;safety_standard;qty;buying_price;price;size;color;name_en;short_desc_en;full_description_en;image;model_image
W-201-B2B-APRN;"B2B Apron with pocket Ramsey";B2B-APRNBL;1;"Back To Basics";"test category";B2B-APRNBL;"B2B Apron with pocket Ramsey black one size";"35% cotton, 65% recycled polyester";6,10E+12;"OEKO-TEX Standard 100";1;0.00;1.00;"one size";black;"Apron with pocket Ramsey black one size";"Apron with pocket Ramsey black one size";"Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_APRN_BLACK_FRONT.JPG;https://tghimages.nl/B2B_APRN_BLACK_FRONT.JPG
W-201-B2B-APRN;"B2B Apron with pocket Ramsey";B2B-APRNGR;1;"Back To Basics";"test category";B2B-APRNGR;"B2B Apron with pocket Ramsey grey one size";"35% cotton, 65% recycled polyester";6,10E+12;"OEKO-TEX Standard 100";1;0.00;1.00;"one size";grey;"Apron with pocket Ramsey grey one size";"Apron with pocket Ramsey grey one size";"Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_APRN_GREY_FRONT.JPG;https://tghimages.nl/B2B_APRN_BLACK_FRONT.JPG
W-201-B2B-APRN;"B2B Apron with pocket Ramsey";B2B-APRNNA;1;"Back To Basics";"test category";B2B-APRNNA;"B2B Apron with pocket Ramsey navy one size";"35% cotton, 65% recycled polyester";6,10E+12;"OEKO-TEX Standard 100";1;0.00;1.00;"one size";navy;"Apron with pocket Ramsey navy one size";"Apron with pocket Ramsey navy one size";"Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_APRN_NAVY_FRONT.JPG;https://tghimages.nl/B2B_APRN_BLACK_FRONT.JPG
W-201-B2B-BEA;"B2B Beanie Sammy";B2B-BEABL;1;"Back To Basics";"test category";B2B-BEABL;"B2B Beanie Sammy black one size";Acrylic;6,10E+12;"EN 13758-1";1;0.00;1.00;"one size";black;"Beanie Sammy black one size";"Beanie Sammy black one size";"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG
W-201-B2B-BEA;"B2B Beanie Sammy";B2B-BEAGR;1;"Back To Basics";"test category";B2B-BEAGR;"B2B Beanie Sammy grey one size";Acrylic;6,10E+12;"EN 13758-1";1;1.00;1.00;"one size";grey;"Beanie Sammy grey one size";"Beanie Sammy grey one size";"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_BEA_GREY_FRONT.JPG;https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG
W-201-B2B-BEA;"B2B Beanie Sammy";B2B-BEANA;1;"Back To Basics";"test category";B2B-BEANA;"B2B Beanie Sammy navy one size";Acrylic;6,10E+12;"EN 13758-1";1;1.00;1.00;"one size";navy;"Beanie Sammy navy one size";"Beanie Sammy navy one size";"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_BEA_NAVY_FRONT.JPG;https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG
W-201-B2B-BEA;"B2B Beanie Sammy";B2B-BEARB;1;"Back To Basics";"test category";B2B-BEARB;"B2B Beanie Sammy royal blue one size";Acrylic;6,10E+12;"EN 13758-1";1;1.00;1.00;"one size";"royal blue";"Beanie Sammy royal blue one size";"Beanie Sammy royal blue one size";"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_BEA_ROYAL_BLUE_FRONT.JPG;https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG
W-201-B2B-BEA;"B2B Beanie Sammy";B2B-BEARE;1;"Back To Basics";"test category";B2B-BEARE;"B2B Beanie Sammy red one size";Acrylic;6,10E+12;"EN 13758-1";1;1.00;1.00;"one size";red;"Beanie Sammy red one size";"Beanie Sammy red one size";"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.";https://tghimages.nl/B2B_BEA_RED_FRONT.JPG;https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL00;1;"Back To Basics";"test category";B2B-BHBSWBL00;"B2B Basics Hooded band sweater Timmy black XS";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;XS;black;"Basic hooded band sweater Timmy black XS";"Basic hooded band sweater Timmy black XS";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL01;1;"Back To Basics";"test category";B2B-BHBSWBL01;"B2B Basics Hooded band sweater Timmy black S";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;S;black;"Basic hooded band sweater Timmy black S";"Basic hooded band sweater Timmy black S";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
